,Country,Age,Gender,Salary,FormalEducation
6,United States,18 - 24 years old,Male,120000.0,Some college/university study without earning a degree
8,United States,35 - 44 years old,Male,250000.0,Some college/university study without earning a degree
23,United States,45 - 54 years old,"Female;Male;Transgender;Non-binary, genderqueer, or gender non-conforming",75000.0,Some college/university study without earning a degree
27,United States,25 - 34 years old,Male,75000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
32,United States,18 - 24 years old,Female,44000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
33,United States,25 - 34 years old,Female,60000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
35,United States,25 - 34 years old,Male,80000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
43,United States,25 - 34 years old,Male,74000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
46,United States,25 - 34 years old,Male,115000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
47,United States,35 - 44 years old,Male,70000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
49,United States,25 - 34 years old,"Male;Non-binary, genderqueer, or gender non-conforming",90000.0,Associate degree
51,United States,35 - 44 years old,Male,115000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
62,United States,25 - 34 years old,Male,120000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
73,United States,25 - 34 years old,Male,3000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
86,United States,18 - 24 years old,Male,120000.0,Some college/university study without earning a degree
100,United States,25 - 34 years old,Male,141625.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
111,United States,25 - 34 years old,Male,120000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
117,United States,25 - 34 years old,Male,110000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
140,United States,25 - 34 years old,Male,70000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
150,United States,25 - 34 years old,Male,105000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
153,United States,25 - 34 years old,Male,105000.0,Associate degree
159,United States,45 - 54 years old,Male,120000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
166,United States,18 - 24 years old,Male,77000.0,Associate degree
169,United States,25 - 34 years old,Male,97000.0,Some college/university study without earning a degree
178,United States,25 - 34 years old,Male,125000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
197,United States,35 - 44 years old,Male,90000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
202,United States,55 - 64 years old,Male,100000.0,Associate degree
204,United States,35 - 44 years old,Male,60000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
225,United States,35 - 44 years old,Male,95000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
235,United States,25 - 34 years old,Male,81000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
242,United States,25 - 34 years old,Female,65000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
